srcStateName,srcYear,"Micro, Small, Medium Enterprises (MSME) Projects under Prime Minister Employment Generation Programme (PMEGP)",Fund released under Prime Minister Employment Generation Programme (PMEGP),Employment Generated under Prime Minister Employment Generation Programme (PMEGP),YearCode,Year
MIZORAM,2018-19,1123,151450134,8984,2018,"Calendar Year (Jan - Dec), 2018"
NAGALAND,2018-19,1208,234924001,9664,2018,"Calendar Year (Jan - Dec), 2018"
ODISHA,2018-19,3070,785483934,24560,2018,"Calendar Year (Jan - Dec), 2018"
PUDUCHERRY,2018-19,76,15062446,608,2018,"Calendar Year (Jan - Dec), 2018"
PUNJAB,2018-19,1800,476550523,14400,2018,"Calendar Year (Jan - Dec), 2018"
RAJASTHAN,2018-19,2359,719788773,18872,2018,"Calendar Year (Jan - Dec), 2018"
SIKKIM,2018-19,55,11232842,440,2018,"Calendar Year (Jan - Dec), 2018"
TAMIL NADU,2018-19,5182,1328581885,41456,2018,"Calendar Year (Jan - Dec), 2018"
TELANGANA,2018-19,2048,718126726,16384,2018,"Calendar Year (Jan - Dec), 2018"
TRIPURA,2018-19,1179,231400577,9432,2018,"Calendar Year (Jan - Dec), 2018"
UTTAR PRADESH,2018-19,5242,1903097552,41936,2018,"Calendar Year (Jan - Dec), 2018"
UTTARAKHAND,2018-19,2181,409737309,17448,2018,"Calendar Year (Jan - Dec), 2018"
WEST BENGAL,2018-19,2410,755900136,19280,2018,"Calendar Year (Jan - Dec), 2018"
ANDAMAN AND NICOBAR ISLAND,2017-18,218,27661429,1744,2017,"Calendar Year (Jan - Dec), 2017"
ANDHRA PRADESH,2017-18,1593,550163908,12744,2017,"Calendar Year (Jan - Dec), 2017"
ARUNACHAL PRADESH,2017-18,176,26225435,1408,2017,"Calendar Year (Jan - Dec), 2017"
ASSAM,2017-18,2282,236041403,18256,2017,"Calendar Year (Jan - Dec), 2017"
BIHAR,2017-18,2316,657906579,18528,2017,"Calendar Year (Jan - Dec), 2017"
CHANDIGARH,2017-18,45,9003819,360,2017,"Calendar Year (Jan - Dec), 2017"
CHHATTISGARH,2017-18,1459,339254255,11672,2017,"Calendar Year (Jan - Dec), 2017"
DADRA NAGAR HAVELI,2017-18,3,1275614,24,2017,"Calendar Year (Jan - Dec), 2017"
DAMAN AND DIU,2017-18,5,1611484,40,2017,"Calendar Year (Jan - Dec), 2017"
DELHI,2017-18,115,15062377,920,2017,"Calendar Year (Jan - Dec), 2017"
GOA,2017-18,52,15617565,416,2017,"Calendar Year (Jan - Dec), 2017"
GUJARAT,2017-18,1875,1288126125,15000,2017,"Calendar Year (Jan - Dec), 2017"
HARYANA,2017-18,1718,417145107,13744,2017,"Calendar Year (Jan - Dec), 2017"
HIMACHAL PRADESH,2017-18,884,204001428,7072,2017,"Calendar Year (Jan - Dec), 2017"
JAMMU KASHMIR,2017-18,3574,648068624,28592,2017,"Calendar Year (Jan - Dec), 2017"
JHARKHAND,2017-18,1112,244163066,8896,2017,"Calendar Year (Jan - Dec), 2017"
KARNATAKA,2017-18,2103,645990131,16824,2017,"Calendar Year (Jan - Dec), 2017"
KERALA,2017-18,1345,290368115,10760,2017,"Calendar Year (Jan - Dec), 2017"
